"Statistic Label","Year","County","UNIT","VALUE"
"Fatal Collisions","2013","All Counties","Number","179"
"Fatal Collisions","2013","Carlow","Number","1"
"Fatal Collisions","2013","Dublin","Number","18"
"Fatal Collisions","2013","Kildare","Number","13"
"Fatal Collisions","2013","Kilkenny","Number","4"
"Fatal Collisions","2013","Laois","Number","2"
"Fatal Collisions","2013","Longford","Number","2"
"Fatal Collisions","2013","Louth","Number","4"
"Fatal Collisions","2013","Meath","Number","9"
"Fatal Collisions","2013","Offaly","Number","4"
"Fatal Collisions","2013","Westmeath","Number","5"
"Fatal Collisions","2013","Wexford","Number","7"
"Fatal Collisions","2013","Wicklow","Number","6"
"Fatal Collisions","2013","Clare","Number","2"
"Fatal Collisions","2013","Cork","Number","18"
"Fatal Collisions","2013","Kerry","Number","13"
"Fatal Collisions","2013","Limerick","Number","5"
"Fatal Collisions","2013","Tipperary","Number","12"
"Fatal Collisions","2013","Waterford","Number","2"
"Fatal Collisions","2013","Galway","Number","13"
"Fatal Collisions","2013","Leitrim","Number","2"
"Fatal Collisions","2013","Mayo","Number","6"
"Fatal Collisions","2013","Roscommon","Number","4"
"Fatal Collisions","2013","Sligo","Number","4"
"Fatal Collisions","2013","Cavan","Number","3"
"Fatal Collisions","2013","Donegal","Number","12"
"Fatal Collisions","2013","Monaghan","Number","8"
"Fatal Collisions","2014","All Counties","Number","179"
"Fatal Collisions","2014","Carlow","Number","5"
"Fatal Collisions","2014","Dublin","Number","29"
"Fatal Collisions","2014","Kildare","Number","3"
"Fatal Collisions","2014","Kilkenny","Number","3"
"Fatal Collisions","2014","Laois","Number","6"
"Fatal Collisions","2014","Longford","Number","4"
"Fatal Collisions","2014","Louth","Number","5"
"Fatal Collisions","2014","Meath","Number","5"
"Fatal Collisions","2014","Offaly","Number","2"
"Fatal Collisions","2014","Westmeath","Number","3"
"Fatal Collisions","2014","Wexford","Number","4"
"Fatal Collisions","2014","Wicklow","Number","7"
"Fatal Collisions","2014","Clare","Number","4"
"Fatal Collisions","2014","Cork","Number","18"
"Fatal Collisions","2014","Kerry","Number","13"
"Fatal Collisions","2014","Limerick","Number","10"
"Fatal Collisions","2014","Tipperary","Number","12"
"Fatal Collisions","2014","Waterford","Number","5"
"Fatal Collisions","2014","Galway","Number","5"
"Fatal Collisions","2014","Leitrim","Number","1"
"Fatal Collisions","2014","Mayo","Number","11"
"Fatal Collisions","2014","Roscommon","Number","6"
"Fatal Collisions","2014","Sligo","Number","1"
"Fatal Collisions","2014","Cavan","Number","1"
"Fatal Collisions","2014","Donegal","Number","9"
"Fatal Collisions","2014","Monaghan","Number","7"
"Fatal Collisions","2015","All Counties","Number","155"
"Fatal Collisions","2015","Carlow","Number","4"
"Fatal Collisions","2015","Dublin","Number","17"
"Fatal Collisions","2015","Kildare","Number","6"
"Fatal Collisions","2015","Kilkenny","Number","2"
"Fatal Collisions","2015","Laois","Number","2"
"Fatal Collisions","2015","Longford","Number","5"
"Fatal Collisions","2015","Louth","Number","6"
"Fatal Collisions","2015","Meath","Number","8"
"Fatal Collisions","2015","Offaly","Number","4"
"Fatal Collisions","2015","Westmeath","Number","5"
"Fatal Collisions","2015","Wexford","Number","7"
"Fatal Collisions","2015","Wicklow","Number","8"
"Fatal Collisions","2015","Clare","Number","2"
"Fatal Collisions","2015","Cork","Number","14"
"Fatal Collisions","2015","Kerry","Number","8"
"Fatal Collisions","2015","Limerick","Number","4"
"Fatal Collisions","2015","Tipperary","Number","4"
"Fatal Collisions","2015","Waterford","Number","0"
"Fatal Collisions","2015","Galway","Number","12"
"Fatal Collisions","2015","Leitrim","Number","3"
"Fatal Collisions","2015","Mayo","Number","13"
"Fatal Collisions","2015","Roscommon","Number","1"
"Fatal Collisions","2015","Sligo","Number","2"
"Fatal Collisions","2015","Cavan","Number","4"
"Fatal Collisions","2015","Donegal","Number","10"
"Fatal Collisions","2015","Monaghan","Number","4"
"Fatal Collisions","2016","All Counties","Number","174"
"Fatal Collisions","2016","Carlow","Number","0"
"Fatal Collisions","2016","Dublin","Number","21"
"Fatal Collisions","2016","Kildare","Number","7"
"Fatal Collisions","2016","Kilkenny","Number","6"
"Fatal Collisions","2016","Laois","Number","3"
"Fatal Collisions","2016","Longford","Number","3"
"Fatal Collisions","2016","Louth","Number","7"
"Fatal Collisions","2016","Meath","Number","12"
"Fatal Collisions","2016","Offaly","Number","4"
"Fatal Collisions","2016","Westmeath","Number","3"
"Fatal Collisions","2016","Wexford","Number","4"
"Fatal Collisions","2016","Wicklow","Number","2"
"Fatal Collisions","2016","Clare","Number","4"
"Fatal Collisions","2016","Cork","Number","20"
"Fatal Collisions","2016","Kerry","Number","7"
"Fatal Collisions","2016","Limerick","Number","15"
"Fatal Collisions","2016","Tipperary","Number","13"
"Fatal Collisions","2016","Waterford","Number","7"
"Fatal Collisions","2016","Galway","Number","9"
"Fatal Collisions","2016","Leitrim","Number","1"
"Fatal Collisions","2016","Mayo","Number","4"
"Fatal Collisions","2016","Roscommon","Number","7"
"Fatal Collisions","2016","Sligo","Number","2"
"Fatal Collisions","2016","Cavan","Number","3"
"Fatal Collisions","2016","Donegal","Number","6"
"Fatal Collisions","2016","Monaghan","Number","4"
"Fatal Collisions","2017","All Counties","Number","141"
"Fatal Collisions","2017","Carlow","Number","3"
"Fatal Collisions","2017","Dublin","Number","24"
"Fatal Collisions","2017","Kildare","Number","6"
"Fatal Collisions","2017","Kilkenny","Number","5"
"Fatal Collisions","2017","Laois","Number","2"
"Fatal Collisions","2017","Longford","Number","2"
"Fatal Collisions","2017","Louth","Number","7"
"Fatal Collisions","2017","Meath","Number","7"
"Fatal Collisions","2017","Offaly","Number","2"
"Fatal Collisions","2017","Westmeath","Number","1"
"Fatal Collisions","2017","Wexford","Number","3"
"Fatal Collisions","2017","Wicklow","Number","2"
"Fatal Collisions","2017","Clare","Number","4"
"Fatal Collisions","2017","Cork","Number","13"
"Fatal Collisions","2017","Kerry","Number","7"
"Fatal Collisions","2017","Limerick","Number","6"
"Fatal Collisions","2017","Tipperary","Number","8"
"Fatal Collisions","2017","Waterford","Number","4"
"Fatal Collisions","2017","Galway","Number","5"
"Fatal Collisions","2017","Leitrim","Number","1"
"Fatal Collisions","2017","Mayo","Number","8"
"Fatal Collisions","2017","Roscommon","Number","4"
"Fatal Collisions","2017","Sligo","Number","2"
"Fatal Collisions","2017","Cavan","Number","2"
"Fatal Collisions","2017","Donegal","Number","5"
"Fatal Collisions","2017","Monaghan","Number","8"
"Fatal Collisions","2018","All Counties","Number","132"
"Fatal Collisions","2018","Carlow","Number","2"
"Fatal Collisions","2018","Dublin","Number","14"
"Fatal Collisions","2018","Kildare","Number","4"
"Fatal Collisions","2018","Kilkenny","Number","2"
"Fatal Collisions","2018","Laois","Number","5"
"Fatal Collisions","2018","Longford","Number","3"
"Fatal Collisions","2018","Louth","Number","6"
"Fatal Collisions","2018","Meath","Number","7"
"Fatal Collisions","2018","Offaly","Number","2"
"Fatal Collisions","2018","Westmeath","Number","5"
"Fatal Collisions","2018","Wexford","Number","3"
"Fatal Collisions","2018","Wicklow","Number","5"
"Fatal Collisions","2018","Clare","Number","5"
"Fatal Collisions","2018","Cork","Number","15"
"Fatal Collisions","2018","Kerry","Number","2"
"Fatal Collisions","2018","Limerick","Number","8"
"Fatal Collisions","2018","Tipperary","Number","9"
"Fatal Collisions","2018","Waterford","Number","3"
"Fatal Collisions","2018","Galway","Number","6"
"Fatal Collisions","2018","Leitrim","Number","1"
"Fatal Collisions","2018","Mayo","Number","8"
"Fatal Collisions","2018","Roscommon","Number","2"
"Fatal Collisions","2018","Sligo","Number","1"
"Fatal Collisions","2018","Cavan","Number","3"
"Fatal Collisions","2018","Donegal","Number","9"
"Fatal Collisions","2018","Monaghan","Number","2"
"Fatal Collisions","2019","All Counties","Number","129"
"Fatal Collisions","2019","Carlow","Number","2"
"Fatal Collisions","2019","Dublin","Number","17"
"Fatal Collisions","2019","Kildare","Number","4"
"Fatal Collisions","2019","Kilkenny","Number","6"
"Fatal Collisions","2019","Laois","Number","1"
"Fatal Collisions","2019","Longford","Number","1"
"Fatal Collisions","2019","Louth","Number","3"
"Fatal Collisions","2019","Meath","Number","7"
"Fatal Collisions","2019","Offaly","Number","4"
"Fatal Collisions","2019","Westmeath","Number","3"
"Fatal Collisions","2019","Wexford","Number","7"
"Fatal Collisions","2019","Wicklow","Number","3"
"Fatal Collisions","2019","Clare","Number","4"
"Fatal Collisions","2019","Cork","Number","14"
"Fatal Collisions","2019","Kerry","Number","6"
"Fatal Collisions","2019","Limerick","Number","7"
"Fatal Collisions","2019","Tipperary","Number","13"
"Fatal Collisions","2019","Waterford","Number","3"
"Fatal Collisions","2019","Galway","Number","7"
"Fatal Collisions","2019","Leitrim","Number","1"
"Fatal Collisions","2019","Mayo","Number","3"
"Fatal Collisions","2019","Roscommon","Number","3"
"Fatal Collisions","2019","Sligo","Number","1"
"Fatal Collisions","2019","Cavan","Number","3"
"Fatal Collisions","2019","Donegal","Number","5"
"Fatal Collisions","2019","Monaghan","Number","1"
"Fatal Collisions","2020","All Counties","Number","136"
"Fatal Collisions","2020","Carlow","Number","3"
"Fatal Collisions","2020","Dublin","Number","21"
"Fatal Collisions","2020","Kildare","Number","4"
"Fatal Collisions","2020","Kilkenny","Number","5"
"Fatal Collisions","2020","Laois","Number","0"
"Fatal Collisions","2020","Longford","Number","0"
"Fatal Collisions","2020","Louth","Number","7"
"Fatal Collisions","2020","Meath","Number","7"
"Fatal Collisions","2020","Offaly","Number","4"
"Fatal Collisions","2020","Westmeath","Number","4"
"Fatal Collisions","2020","Wexford","Number","7"
"Fatal Collisions","2020","Wicklow","Number","1"
"Fatal Collisions","2020","Clare","Number","3"
"Fatal Collisions","2020","Cork","Number","21"
"Fatal Collisions","2020","Kerry","Number","8"
"Fatal Collisions","2020","Limerick","Number","4"
"Fatal Collisions","2020","Tipperary","Number","7"
"Fatal Collisions","2020","Waterford","Number","2"
"Fatal Collisions","2020","Galway","Number","5"
"Fatal Collisions","2020","Leitrim","Number","1"
"Fatal Collisions","2020","Mayo","Number","5"
"Fatal Collisions","2020","Roscommon","Number","5"
"Fatal Collisions","2020","Sligo","Number","2"
"Fatal Collisions","2020","Cavan","Number","1"
"Fatal Collisions","2020","Donegal","Number","7"
"Fatal Collisions","2020","Monaghan","Number","2"
"Fatal Collisions","2021","All Counties","Number","124"
"Fatal Collisions","2021","Carlow","Number","0"
"Fatal Collisions","2021","Dublin","Number","19"
"Fatal Collisions","2021","Kildare","Number","7"
"Fatal Collisions","2021","Kilkenny","Number","2"
"Fatal Collisions","2021","Laois","Number","2"
"Fatal Collisions","2021","Longford","Number","3"
"Fatal Collisions","2021","Louth","Number","6"
"Fatal Collisions","2021","Meath","Number","11"
"Fatal Collisions","2021","Offaly","Number","0"
"Fatal Collisions","2021","Westmeath","Number","2"
"Fatal Collisions","2021","Wexford","Number","6"
"Fatal Collisions","2021","Wicklow","Number","1"
"Fatal Collisions","2021","Clare","Number","2"
"Fatal Collisions","2021","Cork","Number","7"
"Fatal Collisions","2021","Kerry","Number","6"
"Fatal Collisions","2021","Limerick","Number","5"
"Fatal Collisions","2021","Tipperary","Number","10"
"Fatal Collisions","2021","Waterford","Number","1"
"Fatal Collisions","2021","Galway","Number","9"
"Fatal Collisions","2021","Leitrim","Number","0"
"Fatal Collisions","2021","Mayo","Number","5"
"Fatal Collisions","2021","Roscommon","Number","2"
"Fatal Collisions","2021","Sligo","Number","1"
"Fatal Collisions","2021","Cavan","Number","5"
"Fatal Collisions","2021","Donegal","Number","7"
"Fatal Collisions","2021","Monaghan","Number","5"
"Fatal Collisions","2022","All Counties","Number","147"
"Fatal Collisions","2022","Carlow","Number","0"
"Fatal Collisions","2022","Dublin","Number","12"
"Fatal Collisions","2022","Kildare","Number","4"
"Fatal Collisions","2022","Kilkenny","Number","9"
"Fatal Collisions","2022","Laois","Number","3"
"Fatal Collisions","2022","Longford","Number","2"
"Fatal Collisions","2022","Louth","Number","8"
"Fatal Collisions","2022","Meath","Number","7"
"Fatal Collisions","2022","Offaly","Number","4"
"Fatal Collisions","2022","Westmeath","Number","3"
"Fatal Collisions","2022","Wexford","Number","9"
"Fatal Collisions","2022","Wicklow","Number","2"
"Fatal Collisions","2022","Clare","Number","7"
"Fatal Collisions","2022","Cork","Number","12"
"Fatal Collisions","2022","Kerry","Number","7"
"Fatal Collisions","2022","Limerick","Number","9"
"Fatal Collisions","2022","Tipperary","Number","7"
"Fatal Collisions","2022","Waterford","Number","3"
"Fatal Collisions","2022","Galway","Number","6"
"Fatal Collisions","2022","Leitrim","Number","2"
"Fatal Collisions","2022","Mayo","Number","5"
"Fatal Collisions","2022","Roscommon","Number","3"
"Fatal Collisions","2022","Sligo","Number","5"
"Fatal Collisions","2022","Cavan","Number","5"
"Fatal Collisions","2022","Donegal","Number","8"
"Fatal Collisions","2022","Monaghan","Number","5"
"Injury Collisions","2013","All Counties","Number","4797"
"Injury Collisions","2013","Carlow","Number","59"
"Injury Collisions","2013","Dublin","Number","1138"
"Injury Collisions","2013","Kildare","Number","214"
"Injury Collisions","2013","Kilkenny","Number","84"
"Injury Collisions","2013","Laois","Number","80"
"Injury Collisions","2013","Longford","Number","47"
"Injury Collisions","2013","Louth","Number","193"
"Injury Collisions","2013","Meath","Number","158"
"Injury Collisions","2013","Offaly","Number","93"
"Injury Collisions","2013","Westmeath","Number","65"
"Injury Collisions","2013","Wexford","Number","132"
"Injury Collisions","2013","Wicklow","Number","134"
"Injury Collisions","2013","Clare","Number","113"
"Injury Collisions","2013","Cork","Number","526"
"Injury Collisions","2013","Kerry","Number","161"
"Injury Collisions","2013","Limerick","Number","282"
"Injury Collisions","2013","Tipperary","Number","168"
"Injury Collisions","2013","Waterford","Number","129"
"Injury Collisions","2013","Galway","Number","301"
"Injury Collisions","2013","Leitrim","Number","32"
"Injury Collisions","2013","Mayo","Number","144"
"Injury Collisions","2013","Roscommon","Number","75"
"Injury Collisions","2013","Sligo","Number","86"
"Injury Collisions","2013","Cavan","Number","95"
"Injury Collisions","2013","Donegal","Number","220"
"Injury Collisions","2013","Monaghan","Number","68"
"Injury Collisions","2014","All Counties","Number","5618"
"Injury Collisions","2014","Carlow","Number","64"
"Injury Collisions","2014","Dublin","Number","1708"
"Injury Collisions","2014","Kildare","Number","223"
"Injury Collisions","2014","Kilkenny","Number","95"
"Injury Collisions","2014","Laois","Number","85"
"Injury Collisions","2014","Longford","Number","59"
"Injury Collisions","2014","Louth","Number","198"
"Injury Collisions","2014","Meath","Number","215"
"Injury Collisions","2014","Offaly","Number","63"
"Injury Collisions","2014","Westmeath","Number","105"
"Injury Collisions","2014","Wexford","Number","158"
"Injury Collisions","2014","Wicklow","Number","155"
"Injury Collisions","2014","Clare","Number","115"
"Injury Collisions","2014","Cork","Number","569"
"Injury Collisions","2014","Kerry","Number","217"
"Injury Collisions","2014","Limerick","Number","281"
"Injury Collisions","2014","Tipperary","Number","181"
"Injury Collisions","2014","Waterford","Number","121"
"Injury Collisions","2014","Galway","Number","316"
"Injury Collisions","2014","Leitrim","Number","37"
"Injury Collisions","2014","Mayo","Number","133"
"Injury Collisions","2014","Roscommon","Number","72"
"Injury Collisions","2014","Sligo","Number","67"
"Injury Collisions","2014","Cavan","Number","107"
"Injury Collisions","2014","Donegal","Number","200"
"Injury Collisions","2014","Monaghan","Number","74"
"Injury Collisions","2015","All Counties","Number","5676"
"Injury Collisions","2015","Carlow","Number","61"
"Injury Collisions","2015","Dublin","Number","1736"
"Injury Collisions","2015","Kildare","Number","223"
"Injury Collisions","2015","Kilkenny","Number","129"
"Injury Collisions","2015","Laois","Number","74"
"Injury Collisions","2015","Longford","Number","70"
"Injury Collisions","2015","Louth","Number","161"
"Injury Collisions","2015","Meath","Number","212"
"Injury Collisions","2015","Offaly","Number","68"
"Injury Collisions","2015","Westmeath","Number","106"
"Injury Collisions","2015","Wexford","Number","177"
"Injury Collisions","2015","Wicklow","Number","155"
"Injury Collisions","2015","Clare","Number","102"
"Injury Collisions","2015","Cork","Number","539"
"Injury Collisions","2015","Kerry","Number","205"
"Injury Collisions","2015","Limerick","Number","263"
"Injury Collisions","2015","Tipperary","Number","173"
"Injury Collisions","2015","Waterford","Number","160"
"Injury Collisions","2015","Galway","Number","324"
"Injury Collisions","2015","Leitrim","Number","51"
"Injury Collisions","2015","Mayo","Number","144"
"Injury Collisions","2015","Roscommon","Number","78"
"Injury Collisions","2015","Sligo","Number","69"
"Injury Collisions","2015","Cavan","Number","109"
"Injury Collisions","2015","Donegal","Number","190"
"Injury Collisions","2015","Monaghan","Number","97"
"Injury Collisions","2016","All Counties","Number","5717"
"Injury Collisions","2016","Carlow","Number","52"
"Injury Collisions","2016","Dublin","Number","1859"
"Injury Collisions","2016","Kildare","Number","263"
"Injury Collisions","2016","Kilkenny","Number","115"
"Injury Collisions","2016","Laois","Number","87"
"Injury Collisions","2016","Longford","Number","67"
"Injury Collisions","2016","Louth","Number","159"
"Injury Collisions","2016","Meath","Number","204"
"Injury Collisions","2016","Offaly","Number","80"
"Injury Collisions","2016","Westmeath","Number","111"
"Injury Collisions","2016","Wexford","Number","150"
"Injury Collisions","2016","Wicklow","Number","144"
"Injury Collisions","2016","Clare","Number","108"
"Injury Collisions","2016","Cork","Number","523"
"Injury Collisions","2016","Kerry","Number","195"
"Injury Collisions","2016","Limerick","Number","263"
"Injury Collisions","2016","Tipperary","Number","159"
"Injury Collisions","2016","Waterford","Number","128"
"Injury Collisions","2016","Galway","Number","279"
"Injury Collisions","2016","Leitrim","Number","64"
"Injury Collisions","2016","Mayo","Number","134"
"Injury Collisions","2016","Roscommon","Number","92"
"Injury Collisions","2016","Sligo","Number","74"
"Injury Collisions","2016","Cavan","Number","112"
"Injury Collisions","2016","Donegal","Number","213"
"Injury Collisions","2016","Monaghan","Number","82"
"Injury Collisions","2017","All Counties","Number","5900"
"Injury Collisions","2017","Carlow","Number","55"
"Injury Collisions","2017","Dublin","Number","1939"
"Injury Collisions","2017","Kildare","Number","244"
"Injury Collisions","2017","Kilkenny","Number","92"
"Injury Collisions","2017","Laois","Number","111"
"Injury Collisions","2017","Longford","Number","56"
"Injury Collisions","2017","Louth","Number","205"
"Injury Collisions","2017","Meath","Number","189"
"Injury Collisions","2017","Offaly","Number","108"
"Injury Collisions","2017","Westmeath","Number","108"
"Injury Collisions","2017","Wexford","Number","177"
"Injury Collisions","2017","Wicklow","Number","155"
"Injury Collisions","2017","Clare","Number","125"
"Injury Collisions","2017","Cork","Number","592"
"Injury Collisions","2017","Kerry","Number","193"
"Injury Collisions","2017","Limerick","Number","260"
"Injury Collisions","2017","Tipperary","Number","163"
"Injury Collisions","2017","Waterford","Number","127"
"Injury Collisions","2017","Galway","Number","275"
"Injury Collisions","2017","Leitrim","Number","42"
"Injury Collisions","2017","Mayo","Number","138"
"Injury Collisions","2017","Roscommon","Number","85"
"Injury Collisions","2017","Sligo","Number","76"
"Injury Collisions","2017","Cavan","Number","105"
"Injury Collisions","2017","Donegal","Number","218"
"Injury Collisions","2017","Monaghan","Number","62"
"Injury Collisions","2018","All Counties","Number","5968"
"Injury Collisions","2018","Carlow","Number","43"
"Injury Collisions","2018","Dublin","Number","1976"
"Injury Collisions","2018","Kildare","Number","284"
"Injury Collisions","2018","Kilkenny","Number","90"
"Injury Collisions","2018","Laois","Number","104"
"Injury Collisions","2018","Longford","Number","59"
"Injury Collisions","2018","Louth","Number","164"
"Injury Collisions","2018","Meath","Number","183"
"Injury Collisions","2018","Offaly","Number","96"
"Injury Collisions","2018","Westmeath","Number","86"
"Injury Collisions","2018","Wexford","Number","155"
"Injury Collisions","2018","Wicklow","Number","126"
"Injury Collisions","2018","Clare","Number","105"
"Injury Collisions","2018","Cork","Number","666"
"Injury Collisions","2018","Kerry","Number","220"
"Injury Collisions","2018","Limerick","Number","268"
"Injury Collisions","2018","Tipperary","Number","177"
"Injury Collisions","2018","Waterford","Number","153"
"Injury Collisions","2018","Galway","Number","291"
"Injury Collisions","2018","Leitrim","Number","37"
"Injury Collisions","2018","Mayo","Number","143"
"Injury Collisions","2018","Roscommon","Number","73"
"Injury Collisions","2018","Sligo","Number","75"
"Injury Collisions","2018","Cavan","Number","101"
"Injury Collisions","2018","Donegal","Number","226"
"Injury Collisions","2018","Monaghan","Number","67"
"Injury Collisions","2019","All Counties","Number","5698"
"Injury Collisions","2019","Carlow","Number","63"
"Injury Collisions","2019","Dublin","Number","1985"
"Injury Collisions","2019","Kildare","Number","237"
"Injury Collisions","2019","Kilkenny","Number","71"
"Injury Collisions","2019","Laois","Number","77"
"Injury Collisions","2019","Longford","Number","60"
"Injury Collisions","2019","Louth","Number","178"
"Injury Collisions","2019","Meath","Number","178"
"Injury Collisions","2019","Offaly","Number","83"
"Injury Collisions","2019","Westmeath","Number","101"
"Injury Collisions","2019","Wexford","Number","164"
"Injury Collisions","2019","Wicklow","Number","145"
"Injury Collisions","2019","Clare","Number","111"
"Injury Collisions","2019","Cork","Number","569"
"Injury Collisions","2019","Kerry","Number","172"
"Injury Collisions","2019","Limerick","Number","259"
"Injury Collisions","2019","Tipperary","Number","155"
"Injury Collisions","2019","Waterford","Number","165"
"Injury Collisions","2019","Galway","Number","288"
"Injury Collisions","2019","Leitrim","Number","32"
"Injury Collisions","2019","Mayo","Number","137"
"Injury Collisions","2019","Roscommon","Number","57"
