"Statistic Label","Year","Country of Residence","Type of Vehicle","UNIT","VALUE"
"Fatal Collisions","2005","Ireland","Cars","Number","258"
"Fatal Collisions","2005","Ireland","Goods vehicles","Number","69"
"Fatal Collisions","2005","Northern Ireland","Cars","Number","14"
"Fatal Collisions","2005","Northern Ireland","Goods vehicles","Number","2"
"Fatal Collisions","2005","Great Britain","Cars","Number","4"
"Fatal Collisions","2005","Great Britain","Goods vehicles","Number","1"
"Fatal Collisions","2005","All countries excluding Ireland and United Kingdom","Cars","Number","8"
"Fatal Collisions","2005","All countries excluding Ireland and United Kingdom","Goods vehicles","Number","0"
"Fatal Collisions","2005","All countries","Cars","Number","284"
"Fatal Collisions","2005","All countries","Goods vehicles","Number","72"
"Fatal Collisions","2006","Ireland","Cars","Number","234"
"Fatal Collisions","2006","Ireland","Goods vehicles","Number","70"
"Fatal Collisions","2006","Northern Ireland","Cars","Number","3"
"Fatal Collisions","2006","Northern Ireland","Goods vehicles","Number","2"
"Fatal Collisions","2006","Great Britain","Cars","Number","1"
"Fatal Collisions","2006","Great Britain","Goods vehicles","Number","0"
"Fatal Collisions","2006","All countries excluding Ireland and United Kingdom","Cars","Number","9"
"Fatal Collisions","2006","All countries excluding Ireland and United Kingdom","Goods vehicles","Number","5"
"Fatal Collisions","2006","All countries","Cars","Number","247"
"Fatal Collisions","2006","All countries","Goods vehicles","Number","77"
"Fatal Collisions","2007","Ireland","Cars","Number","170"
"Fatal Collisions","2007","Ireland","Goods vehicles","Number","77"
"Fatal Collisions","2007","Northern Ireland","Cars","Number","6"
"Fatal Collisions","2007","Northern Ireland","Goods vehicles","Number","1"
"Fatal Collisions","2007","Great Britain","Cars","Number","3"
"Fatal Collisions","2007","Great Britain","Goods vehicles","Number","2"
"Fatal Collisions","2007","All countries excluding Ireland and United Kingdom","Cars","Number","7"
"Fatal Collisions","2007","All countries excluding Ireland and United Kingdom","Goods vehicles","Number","0"
"Fatal Collisions","2007","All countries","Cars","Number","186"
"Fatal Collisions","2007","All countries","Goods vehicles","Number","80"
"Fatal Collisions","2008","Ireland","Cars","Number","156"
"Fatal Collisions","2008","Ireland","Goods vehicles","Number","54"
"Fatal Collisions","2008","Northern Ireland","Cars","Number","1"
"Fatal Collisions","2008","Northern Ireland","Goods vehicles","Number","4"
"Fatal Collisions","2008","Great Britain","Cars","Number","3"
"Fatal Collisions","2008","Great Britain","Goods vehicles","Number","1"
"Fatal Collisions","2008","All countries excluding Ireland and United Kingdom","Cars","Number","10"
"Fatal Collisions","2008","All countries excluding Ireland and United Kingdom","Goods vehicles","Number","2"
"Fatal Collisions","2008","All countries","Cars","Number","170"
"Fatal Collisions","2008","All countries","Goods vehicles","Number","61"
"Fatal Collisions","2009","Ireland","Cars","Number","142"
"Fatal Collisions","2009","Ireland","Goods vehicles","Number","34"
"Fatal Collisions","2009","Northern Ireland","Cars","Number","1"
"Fatal Collisions","2009","Northern Ireland","Goods vehicles","Number","1"
"Fatal Collisions","2009","Great Britain","Cars","Number","1"
"Fatal Collisions","2009","Great Britain","Goods vehicles","Number","2"
"Fatal Collisions","2009","All countries excluding Ireland and United Kingdom","Cars","Number","3"
"Fatal Collisions","2009","All countries excluding Ireland and United Kingdom","Goods vehicles","Number","2"
"Fatal Collisions","2009","All countries","Cars","Number","147"
"Fatal Collisions","2009","All countries","Goods vehicles","Number","39"
"Fatal Collisions","2010","Ireland","Cars","Number","124"
"Fatal Collisions","2010","Ireland","Goods vehicles","Number","31"
"Fatal Collisions","2010","Northern Ireland","Cars","Number","2"
"Fatal Collisions","2010","Northern Ireland","Goods vehicles","Number","0"
"Fatal Collisions","2010","Great Britain","Cars","Number","0"
"Fatal Collisions","2010","Great Britain","Goods vehicles","Number","0"
"Fatal Collisions","2010","All countries excluding Ireland and United Kingdom","Cars","Number","3"
"Fatal Collisions","2010","All countries excluding Ireland and United Kingdom","Goods vehicles","Number","0"
"Fatal Collisions","2010","All countries","Cars","Number","129"
"Fatal Collisions","2010","All countries","Goods vehicles","Number","31"
"Fatal Collisions","2011","Ireland","Cars","Number","100"
"Fatal Collisions","2011","Ireland","Goods vehicles","Number","34"
"Fatal Collisions","2011","Northern Ireland","Cars","Number","2"
"Fatal Collisions","2011","Northern Ireland","Goods vehicles","Number","0"
"Fatal Collisions","2011","Great Britain","Cars","Number","2"
"Fatal Collisions","2011","Great Britain","Goods vehicles","Number","0"
"Fatal Collisions","2011","All countries excluding Ireland and United Kingdom","Cars","Number","2"
"Fatal Collisions","2011","All countries excluding Ireland and United Kingdom","Goods vehicles","Number","0"
"Fatal Collisions","2011","All countries","Cars","Number","106"
"Fatal Collisions","2011","All countries","Goods vehicles","Number","34"
"Fatal Collisions","2012","Ireland","Cars","Number","83"
"Fatal Collisions","2012","Ireland","Goods vehicles","Number","29"
"Fatal Collisions","2012","Northern Ireland","Cars","Number","2"
"Fatal Collisions","2012","Northern Ireland","Goods vehicles","Number","0"
"Fatal Collisions","2012","Great Britain","Cars","Number","3"
"Fatal Collisions","2012","Great Britain","Goods vehicles","Number","0"
"Fatal Collisions","2012","All countries excluding Ireland and United Kingdom","Cars","Number","0"
"Fatal Collisions","2012","All countries excluding Ireland and United Kingdom","Goods vehicles","Number","0"
"Fatal Collisions","2012","All countries","Cars","Number","88"
"Fatal Collisions","2012","All countries","Goods vehicles","Number","29"
"Fatal Collisions","2013","Ireland","Cars","Number","108"
"Fatal Collisions","2013","Ireland","Goods vehicles","Number","31"
"Fatal Collisions","2013","Northern Ireland","Cars","Number","1"
"Fatal Collisions","2013","Northern Ireland","Goods vehicles","Number","3"
"Fatal Collisions","2013","Great Britain","Cars","Number","1"
"Fatal Collisions","2013","Great Britain","Goods vehicles","Number","0"
"Fatal Collisions","2013","All countries excluding Ireland and United Kingdom","Cars","Number","2"
"Fatal Collisions","2013","All countries excluding Ireland and United Kingdom","Goods vehicles","Number","2"
"Fatal Collisions","2013","All countries","Cars","Number","112"
"Fatal Collisions","2013","All countries","Goods vehicles","Number","36"
"Fatal Collisions","2014","Ireland","Cars","Number","166"
"Fatal Collisions","2014","Ireland","Goods vehicles","Number","30"
"Fatal Collisions","2014","Northern Ireland","Cars","Number","2"
"Fatal Collisions","2014","Northern Ireland","Goods vehicles","Number","1"
"Fatal Collisions","2014","Great Britain","Cars","Number","1"
"Fatal Collisions","2014","Great Britain","Goods vehicles","Number","0"
"Fatal Collisions","2014","All countries excluding Ireland and United Kingdom","Cars","Number","3"
"Fatal Collisions","2014","All countries excluding Ireland and United Kingdom","Goods vehicles","Number","0"
"Fatal Collisions","2014","All countries","Cars","Number","172"
"Fatal Collisions","2014","All countries","Goods vehicles","Number","31"
"Fatal Collisions","2015","Ireland","Cars","Number","131"
"Fatal Collisions","2015","Ireland","Goods vehicles","Number","32"
"Fatal Collisions","2015","Northern Ireland","Cars","Number","4"
"Fatal Collisions","2015","Northern Ireland","Goods vehicles","Number","3"
"Fatal Collisions","2015","Great Britain","Cars","Number","2"
"Fatal Collisions","2015","Great Britain","Goods vehicles","Number","1"
"Fatal Collisions","2015","All countries excluding Ireland and United Kingdom","Cars","Number","2"
"Fatal Collisions","2015","All countries excluding Ireland and United Kingdom","Goods vehicles","Number","0"
"Fatal Collisions","2015","All countries","Cars","Number","139"
"Fatal Collisions","2015","All countries","Goods vehicles","Number","36"
"Fatal Collisions","2016","Ireland","Cars","Number","168"
"Fatal Collisions","2016","Ireland","Goods vehicles","Number","44"
"Fatal Collisions","2016","Northern Ireland","Cars","Number","2"
"Fatal Collisions","2016","Northern Ireland","Goods vehicles","Number","2"
"Fatal Collisions","2016","Great Britain","Cars","Number","0"
"Fatal Collisions","2016","Great Britain","Goods vehicles","Number","1"
"Fatal Collisions","2016","All countries excluding Ireland and United Kingdom","Cars","Number","0"
"Fatal Collisions","2016","All countries excluding Ireland and United Kingdom","Goods vehicles","Number","1"
"Fatal Collisions","2016","All countries","Cars","Number","170"
"Fatal Collisions","2016","All countries","Goods vehicles","Number","48"
"Fatal Collisions","2017","Ireland","Cars","Number","131"
"Fatal Collisions","2017","Ireland","Goods vehicles","Number","28"
"Fatal Collisions","2017","Northern Ireland","Cars","Number","4"
"Fatal Collisions","2017","Northern Ireland","Goods vehicles","Number","1"
"Fatal Collisions","2017","Great Britain","Cars","Number","0"
"Fatal Collisions","2017","Great Britain","Goods vehicles","Number","0"
"Fatal Collisions","2017","All countries excluding Ireland and United Kingdom","Cars","Number","3"
"Fatal Collisions","2017","All countries excluding Ireland and United Kingdom","Goods vehicles","Number","1"
"Fatal Collisions","2017","All countries","Cars","Number","138"
"Fatal Collisions","2017","All countries","Goods vehicles","Number","30"
"Fatal Collisions","2018","Ireland","Cars","Number","171"
"Fatal Collisions","2018","Ireland","Goods vehicles","Number","43"
"Fatal Collisions","2018","Northern Ireland","Cars","Number","2"
"Fatal Collisions","2018","Northern Ireland","Goods vehicles","Number","2"
"Fatal Collisions","2018","Great Britain","Cars","Number","0"
"Fatal Collisions","2018","Great Britain","Goods vehicles","Number","1"
"Fatal Collisions","2018","All countries excluding Ireland and United Kingdom","Cars","Number","0"
"Fatal Collisions","2018","All countries excluding Ireland and United Kingdom","Goods vehicles","Number","1"
"Fatal Collisions","2018","All countries","Cars","Number","173"
"Fatal Collisions","2018","All countries","Goods vehicles","Number","47"
"Fatal Collisions","2019","Ireland","Cars","Number","113"
"Fatal Collisions","2019","Ireland","Goods vehicles","Number","41"
"Fatal Collisions","2019","Northern Ireland","Cars","Number","2"
"Fatal Collisions","2019","Northern Ireland","Goods vehicles","Number","2"
"Fatal Collisions","2019","Great Britain","Cars","Number","1"
"Fatal Collisions","2019","Great Britain","Goods vehicles","Number","0"
"Fatal Collisions","2019","All countries excluding Ireland and United Kingdom","Cars","Number","1"
"Fatal Collisions","2019","All countries excluding Ireland and United Kingdom","Goods vehicles","Number","1"
"Fatal Collisions","2019","All countries","Cars","Number","117"
"Fatal Collisions","2019","All countries","Goods vehicles","Number","44"
"Fatal Collisions","2020","Ireland","Cars","Number","102"
"Fatal Collisions","2020","Ireland","Goods vehicles","Number","45"
"Fatal Collisions","2020","Northern Ireland","Cars","Number","7"
"Fatal Collisions","2020","Northern Ireland","Goods vehicles","Number","2"
"Fatal Collisions","2020","Great Britain","Cars","Number","0"
"Fatal Collisions","2020","Great Britain","Goods vehicles","Number","0"
"Fatal Collisions","2020","All countries excluding Ireland and United Kingdom","Cars","Number","0"
"Fatal Collisions","2020","All countries excluding Ireland and United Kingdom","Goods vehicles","Number","0"
"Fatal Collisions","2020","All countries","Cars","Number","109"
"Fatal Collisions","2020","All countries","Goods vehicles","Number","47"
"Fatal Collisions","2021","Ireland","Cars","Number","129"
"Fatal Collisions","2021","Ireland","Goods vehicles","Number","27"
"Fatal Collisions","2021","Northern Ireland","Cars","Number","3"
"Fatal Collisions","2021","Northern Ireland","Goods vehicles","Number","4"
"Fatal Collisions","2021","Great Britain","Cars","Number","0"
"Fatal Collisions","2021","Great Britain","Goods vehicles","Number","0"
"Fatal Collisions","2021","All countries excluding Ireland and United Kingdom","Cars","Number","1"
"Fatal Collisions","2021","All countries excluding Ireland and United Kingdom","Goods vehicles","Number","0"
"Fatal Collisions","2021","All countries","Cars","Number","133"
"Fatal Collisions","2021","All countries","Goods vehicles","Number","31"
"Fatal Collisions","2022","Ireland","Cars","Number","130"
"Fatal Collisions","2022","Ireland","Goods vehicles","Number","42"
"Fatal Collisions","2022","Northern Ireland","Cars","Number","4"
"Fatal Collisions","2022","Northern Ireland","Goods vehicles","Number","2"
"Fatal Collisions","2022","Great Britain","Cars","Number","1"
"Fatal Collisions","2022","Great Britain","Goods vehicles","Number","0"
"Fatal Collisions","2022","All countries excluding Ireland and United Kingdom","Cars","Number","3"
"Fatal Collisions","2022","All countries excluding Ireland and United Kingdom","Goods vehicles","Number","2"
"Fatal Collisions","2022","All countries","Cars","Number","138"
"Fatal Collisions","2022","All countries","Goods vehicles","Number","46"
"Injury Collisions","2005","Ireland","Cars","Number","5703"
"Injury Collisions","2005","Ireland","Goods vehicles","Number","983"
"Injury Collisions","2005","Northern Ireland","Cars","Number","108"
"Injury Collisions","2005","Northern Ireland","Goods vehicles","Number","47"
"Injury Collisions","2005","Great Britain","Cars","Number","71"
"Injury Collisions","2005","Great Britain","Goods vehicles","Number","15"
"Injury Collisions","2005","All countries excluding Ireland and United Kingdom","Cars","Number","197"
"Injury Collisions","2005","All countries excluding Ireland and United Kingdom","Goods vehicles","Number","42"
"Injury Collisions","2005","All countries","Cars","Number","6079"
"Injury Collisions","2005","All countries","Goods vehicles","Number","1087"
"Injury Collisions","2006","Ireland","Cars","Number","5272"
"Injury Collisions","2006","Ireland","Goods vehicles","Number","938"
"Injury Collisions","2006","Northern Ireland","Cars","Number","110"
"Injury Collisions","2006","Northern Ireland","Goods vehicles","Number","35"
"Injury Collisions","2006","Great Britain","Cars","Number","51"
"Injury Collisions","2006","Great Britain","Goods vehicles","Number","9"
"Injury Collisions","2006","All countries excluding Ireland and United Kingdom","Cars","Number","166"
"Injury Collisions","2006","All countries excluding Ireland and United Kingdom","Goods vehicles","Number","46"
"Injury Collisions","2006","All countries","Cars","Number","5599"
"Injury Collisions","2006","All countries","Goods vehicles","Number","1028"
"Injury Collisions","2007","Ireland","Cars","Number","4528"
"Injury Collisions","2007","Ireland","Goods vehicles","Number","787"
"Injury Collisions","2007","Northern Ireland","Cars","Number","86"
"Injury Collisions","2007","Northern Ireland","Goods vehicles","Number","26"
"Injury Collisions","2007","Great Britain","Cars","Number","44"
"Injury Collisions","2007","Great Britain","Goods vehicles","Number","10"
"Injury Collisions","2007","All countries excluding Ireland and United Kingdom","Cars","Number","129"
"Injury Collisions","2007","All countries excluding Ireland and United Kingdom","Goods vehicles","Number","22"
"Injury Collisions","2007","All countries","Cars","Number","4787"
"Injury Collisions","2007","All countries","Goods vehicles","Number","845"
"Injury Collisions","2008","Ireland","Cars","Number","5570"
"Injury Collisions","2008","Ireland","Goods vehicles","Number","853"
"Injury Collisions","2008","Northern Ireland","Cars","Number","76"
"Injury Collisions","2008","Northern Ireland","Goods vehicles","Number","18"
"Injury Collisions","2008","Great Britain","Cars","Number","40"
"Injury Collisions","2008","Great Britain","Goods vehicles","Number","5"
"Injury Collisions","2008","All countries excluding Ireland and United Kingdom","Cars","Number","112"
"Injury Collisions","2008","All countries excluding Ireland and United Kingdom","Goods vehicles","Number","28"
"Injury Collisions","2008","All countries","Cars","Number","5798"
"Injury Collisions","2008","All countries","Goods vehicles","Number","904"
"Injury Collisions","2009","Ireland","Cars","Number","5750"
"Injury Collisions","2009","Ireland","Goods vehicles","Number","778"
"Injury Collisions","2009","Northern Ireland","Cars","Number","67"
"Injury Collisions","2009","Northern Ireland","Goods vehicles","Number","22"
"Injury Collisions","2009","Great Britain","Cars","Number","53"
"Injury Collisions","2009","Great Britain","Goods vehicles","Number","12"
"Injury Collisions","2009","All countries excluding Ireland and United Kingdom","Cars","Number","99"
"Injury Collisions","2009","All countries excluding Ireland and United Kingdom","Goods vehicles","Number","14"
"Injury Collisions","2009","All countries","Cars","Number","5969"
"Injury Collisions","2009","All countries","Goods vehicles","Number","826"
"Injury Collisions","2010","Ireland","Cars","Number","4931"
"Injury Collisions","2010","Ireland","Goods vehicles","Number","702"
"Injury Collisions","2010","Northern Ireland","Cars","Number","64"
"Injury Collisions","2010","Northern Ireland","Goods vehicles","Number","19"
"Injury Collisions","2010","Great Britain","Cars","Number","39"
"Injury Collisions","2010","Great Britain","Goods vehicles","Number","4"
"Injury Collisions","2010","All countries excluding Ireland and United Kingdom","Cars","Number","72"
"Injury Collisions","2010","All countries excluding Ireland and United Kingdom","Goods vehicles","Number","15"
"Injury Collisions","2010","All countries","Cars","Number","5106"
"Injury Collisions","2010","All countries","Goods vehicles","Number","740"
"Injury Collisions","2011","Ireland","Cars","Number","4495"
"Injury Collisions","2011","Ireland","Goods vehicles","Number","555"
"Injury Collisions","2011","Northern Ireland","Cars","Number","52"
"Injury Collisions","2011","Northern Ireland","Goods vehicles","Number","14"
"Injury Collisions","2011","Great Britain","Cars","Number","30"
"Injury Collisions","2011","Great Britain","Goods vehicles","Number","4"
"Injury Collisions","2011","All countries excluding Ireland and United Kingdom","Cars","Number","70"
"Injury Collisions","2011","All countries excluding Ireland and United Kingdom","Goods vehicles","Number","9"
"Injury Collisions","2011","All countries","Cars","Number","4647"
"Injury Collisions","2011","All countries","Goods vehicles","Number","582"
"Injury Collisions","2012","Ireland","Cars","Number","5027"
"Injury Collisions","2012","Ireland","Goods vehicles","Number","625"
"Injury Collisions","2012","Northern Ireland","Cars","Number","58"
"Injury Collisions","2012","Northern Ireland","Goods vehicles","Number","13"
"Injury Collisions","2012","Great Britain","Cars","Number","40"
"Injury Collisions","2012","Great Britain","Goods vehicles","Number","2"
"Injury Collisions","2012","All countries excluding Ireland and United Kingdom","Cars","Number","70"
"Injury Collisions","2012","All countries excluding Ireland and United Kingdom","Goods vehicles","Number","7"
"Injury Collisions","2012","All countries","Cars","Number","5195"
"Injury Collisions","2012","All countries","Goods vehicles","Number","647"
"Injury Collisions","2013","Ireland","Cars","Number","4171"
"Injury Collisions","2013","Ireland","Goods vehicles","Number","556"
"Injury Collisions","2013","Northern Ireland","Cars","Number","53"
"Injury Collisions","2013","Northern Ireland","Goods vehicles","Number","16"
"Injury Collisions","2013","Great Britain","Cars","Number","41"
"Injury Collisions","2013","Great Britain","Goods vehicles","Number","6"
"Injury Collisions","2013","All countries excluding Ireland and United Kingdom","Cars","Number","64"
"Injury Collisions","2013","All countries excluding Ireland and United Kingdom","Goods vehicles","Number","8"
"Injury Collisions","2013","All countries","Cars","Number","4329"
"Injury Collisions","2013","All countries","Goods vehicles","Number","586"
"Injury Collisions","2014","Ireland","Cars","Number","6009"
"Injury Collisions","2014","Ireland","Goods vehicles","Number","811"
"Injury Collisions","2014","Northern Ireland","Cars","Number","108"
"Injury Collisions","2014","Northern Ireland","Goods vehicles","Number","17"
"Injury Collisions","2014","Great Britain","Cars","Number","36"
"Injury Collisions","2014","Great Britain","Goods vehicles","Number","2"
"Injury Collisions","2014","All countries excluding Ireland and United Kingdom","Cars","Number","60"
"Injury Collisions","2014","All countries excluding Ireland and United Kingdom","Goods vehicles","Number","7"
"Injury Collisions","2014","All countries","Cars","Number","6213"
"Injury Collisions","2014","All countries","Goods vehicles","Number","837"
"Injury Collisions","2015","Ireland","Cars","Number","5993"
"Injury Collisions","2015","Ireland","Goods vehicles","Number","832"
"Injury Collisions","2015","Northern Ireland","Cars","Number","80"
"Injury Collisions","2015","Northern Ireland","Goods vehicles","Number","24"
"Injury Collisions","2015","Great Britain","Cars","Number","36"
"Injury Collisions","2015","Great Britain","Goods vehicles","Number","4"
"Injury Collisions","2015","All countries excluding Ireland and United Kingdom","Cars","Number","75"
"Injury Collisions","2015","All countries excluding Ireland and United Kingdom","Goods vehicles","Number","11"
